region,year,n
Iceland,1986,243180
Italy,1986,56596155
Liechtenstein,1986,27559
Lithuania,1986,3578914
Luxembourg,1986,368355
Latvia,1986,2599892
Monaco,1986,29041
Moldova,1986,3602000
North Macedonia,1986,1987538
Malta,1986,342121
Montenegro,1986,607711
Netherlands,1986,14572278
Norway,1986,4167354
Poland,1986,37456119
Portugal,1986,10032734
Romania,1986,22859269
Slovak Republic,1986,5193838
Slovenia,1986,1965964
Sweden,1986,8369829
Ukraine,1986,51097000
Uruguay,1986,3030649
Kosovo,1986,1717000
Albania,1987,3083605
Andorra,1987,48455
Austria,1987,7574586
Belgium,1987,9870234
Bulgaria,1987,8971359
Bosnia and Herzegovina,1987,4479519
Switzerland,1987,6545106
Cyprus,1987,723376
Czech Republic,1987,10347318
Germany,1987,77839920
Denmark,1987,5127024
Spain,1987,38684815
Estonia,1987,1552221
Finland,1987,4932123
France,1987,57302663
United Kingdom,1987,56802050
Gibraltar,1987,29115
Greece,1987,10000595
Croatia,1987,4739745
Hungary,1987,10612741
Ireland,1987,3540057
Iceland,1987,245859
Italy,1987,56601931
Liechtenstein,1987,27837
Lithuania,1987,3616367
Luxembourg,1987,370750
Latvia,1987,2626583
Monaco,1987,29168
Moldova,1987,3633000
North Macedonia,1987,1992274
Malta,1987,344485
Montenegro,1987,608144
Netherlands,1987,14665037
Norway,1987,4186905
Poland,1987,37668045
Portugal,1987,10030031
Romania,1987,22949430
Slovak Republic,1987,5222840
Slovenia,1987,1989776
Sweden,1987,8397804
Ukraine,1987,51293000
Uruguay,1987,3049581
Kosovo,1987,1753000
Albania,1988,3142336
Andorra,1988,50434
Austria,1988,7585317
Belgium,1988,9901664
Bulgaria,1988,8981446
Bosnia and Herzegovina,1988,4509461
Switzerland,1988,6593386
Cyprus,1988,736474
Czech Republic,1988,10355276
Germany,1988,78144619
Denmark,1988,5129516
Spain,1988,38766939
Estonia,1988,1561900
Finland,1988,4946481
France,1988,57627105
United Kingdom,1988,56928327
Gibraltar,1988,29159
Greece,1988,10036983
Croatia,1988,4755207
Hungary,1988,10596487
Ireland,1988,3524949
Iceland,1988,249740
Italy,1988,56629288
Liechtenstein,1988,28129
Lithuania,1988,3655049
Luxembourg,1988,373450
Latvia,1988,2653434
Monaco,1988,29229
Moldova,1988,3660000
North Macedonia,1988,1995513
Malta,1988,347325
Montenegro,1988,607413
Netherlands,1988,14760094
Norway,1988,4209488
Poland,1988,37824487
Portugal,1988,10019610
Romania,1988,23057662
Slovak Republic,1988,5250596
Slovenia,1988,1995196
Sweden,1988,8436489
Ukraine,1988,51521000
Uruguay,1988,3068705
Kosovo,1988,1791000
Albania,1989,3227943
Andorra,1989,52448
Austria,1989,7619567
Belgium,1989,9937697
Bulgaria,1989,8876972
Bosnia and Herzegovina,1989,4507824
Switzerland,1989,6646912
Cyprus,1989,751047
Czech Republic,1989,10361068
Germany,1989,78751283
Denmark,1989,5132594
Spain,1989,38827764
Estonia,1989,1568131
Finland,1989,4964371
France,1989,57940212
United Kingdom,1989,57076711
Gibraltar,1989,29187
Greece,1989,10089498
Croatia,1989,4767260
Hungary,1989,10481719
Ireland,1989,3511009
Iceland,1989,252852
Italy,1989,56671781
Liechtenstein,1989,28449
Lithuania,1989,3684255
Luxembourg,1989,377100
Latvia,1989,2666955
Monaco,1989,29305
Moldova,1989,3681000
North Macedonia,1989,1996870
Malta,1989,350722
Montenegro,1989,606571
Netherlands,1989,14848907
Norway,1989,4226901
Poland,1989,37961529
Portugal,1989,10005000
Romania,1989,23161458
Slovak Republic,1989,5275942
Slovenia,1989,1996351
Sweden,1989,8492964
Ukraine,1989,51773000
Uruguay,1989,3088595
Kosovo,1989,1827000
Albania,1990,3286542
Andorra,1990,54509
Austria,1990,7677850
Belgium,1990,9967379
Bulgaria,1990,8718289
Bosnia and Herzegovina,1990,4463423
Switzerland,1990,6715519
Cyprus,1990,766615
Czech Republic,1990,10333355
Germany,1990,79433029
Denmark,1990,5140939
Spain,1990,38867322
Estonia,1990,1569174
Finland,1990,4986431
France,1990,58235697
United Kingdom,1990,57247586
Gibraltar,1990,29147
Greece,1990,10196792
Croatia,1990,4777368
Hungary,1990,10373988
Ireland,1990,3513974
Iceland,1990,254826
Italy,1990,56719240
Liechtenstein,1990,28789
Lithuania,1990,3697838
Luxembourg,1990,381850
Latvia,1990,2663151
Monaco,1990,29438
Moldova,1990,3696000
North Macedonia,1990,1996228
Malta,1990,354170
Montenegro,1990,606372
Netherlands,1990,14951510
Norway,1990,4241473
Poland,1990,38110782
Portugal,1990,9983218
Romania,1990,23201835
Serbia,1990,7586000
Slovak Republic,1990,5299187
Slovenia,1990,1998161
Sweden,1990,8558835
Ukraine,1990,51892000
Uruguay,1990,3109601
Kosovo,1990,1862000
Albania,1991,3266790
Andorra,1991,56671
Austria,1991,7754891
Belgium,1991,10004486
Bulgaria,1991,8632367
Bosnia and Herzegovina,1991,4369319
Switzerland,1991,6799978
Cyprus,1991,783124
Czech Republic,1991,10308578
Germany,1991,80013896
Denmark,1991,5154298
Spain,1991,38966376
Estonia,1991,1561314
Finland,1991,5013740
France,1991,58559311
United Kingdom,1991,57424897
Gibraltar,1991,29022
Greece,1991,10319927
Croatia,1991,4689022
Hungary,1991,10373400
Ireland,1991,3534235
Iceland,1991,257797
Italy,1991,56758521
Liechtenstein,1991,29159
Lithuania,1991,3704134
Luxembourg,1991,387000
Latvia,1991,2650581
Monaco,1991,29622
Moldova,1991,3704000
North Macedonia,1991,1993302
Malta,1991,363845
Montenegro,1991,607105
Netherlands,1991,15069798
Norway,1991,4261732
Poland,1991,38246193
Portugal,1991,9960235
Romania,1991,23001155
Serbia,1991,7595636
Slovak Republic,1991,5303294
Slovenia,1991,1999429
Sweden,1991,8617375
Ukraine,1991,52000470
Uruguay,1991,3131660
Kosovo,1991,1898000
Albania,1992,3247039
Andorra,1992,58888
Austria,1992,7840709
Belgium,1992,10045158
Bulgaria,1992,8540164
Bosnia and Herzegovina,1992,4233676
Switzerland,1992,6875364
Cyprus,1992,800611
Czech Republic,1992,10319123
Germany,1992,80624598
Denmark,1992,5171370
Spain,1992,39157685
Estonia,1992,1533091
Finland,1992,5041992
France,1992,58851217
United Kingdom,1992,57580402
Gibraltar,1992,28840
Greece,1992,10399061
Croatia,1992,4575818
Hungary,1992,10369341
Ireland,1992,3558430
Iceland,1992,261057
Italy,1992,56797087
Liechtenstein,1992,29553
Lithuania,1992,3700114
Luxembourg,1992,392175
Latvia,1992,2614338
Monaco,1992,29865
Moldova,1992,3706000
North Macedonia,1992,1988659
Malta,1992,367618
Montenegro,1992,608516
Netherlands,1992,15184166
Norway,1992,4286401
Poland,1992,38363667
Portugal,1992,9952494
Romania,1992,22794284
Serbia,1992,7646424
Slovak Republic,1992,5305016
Slovenia,1992,1996498
Sweden,1992,8668067
Ukraine,1992,52150266
Uruguay,1992,3154464
Kosovo,1992,1932000
Albania,1993,3227287
Andorra,1993,60971
Austria,1993,7905633
Belgium,1993,10084475
Bulgaria,1993,8472313
Bosnia and Herzegovina,1993,4078937
Switzerland,1993,6938265
Cyprus,1993,818746
Czech Republic,1993,10329855
Germany,1993,81156363
Denmark,1993,5188628
Spain,1993,39361262
Estonia,1993,1494128
Finland,1993,5066447
France,1993,59106768
United Kingdom,1993,57718614
Gibraltar,1993,28675
Greece,1993,10460415
Croatia,1993,4600463
Hungary,1993,10357523
Ireland,1993,3576261
Iceland,1993,263725
Italy,1993,56831821
Liechtenstein,1993,29975
Lithuania,1993,3682613
Luxembourg,1993,397475
Latvia,1993,2563290
Monaco,1993,30146
Moldova,1993,3701000
North Macedonia,1993,1984028
Malta,1993,371308
Montenegro,1993,610170
Netherlands,1993,15290368
Norway,1993,4311991
Poland,1993,38461408
Portugal,1993,9964675
Romania,1993,22763280
Serbia,1993,7699307
Slovak Republic,1993,5325305
Slovenia,1993,1991746
Sweden,1993,8718561
Ukraine,1993,52179210
Uruguay,1993,3177745
Kosovo,1993,1965000
Albania,1994,3207536
Andorra,1994,62677
Austria,1994,7936118
Belgium,1994,10115603
Bulgaria,1994,8443591
Bosnia and Herzegovina,1994,3936524
Switzerland,1994,6993795
Cyprus,1994,837110
Czech Republic,1994,10333587
Germany,1994,81438348
Denmark,1994,5206180
Spain,1994,39549108
Estonia,1994,1462514
Finland,1994,5088333
France,1994,59327192
United Kingdom,1994,57865745
Gibraltar,1994,28602
Greece,1994,10512922
Croatia,1994,4652024
Hungary,1994,10343355
Ireland,1994,3590386
Iceland,1994,266021
Italy,1994,56843400
Liechtenstein,1994,30426
Lithuania,1994,3657144
Luxembourg,1994,402925
Latvia,1994,2520742
Monaco,1994,30435
Moldova,1994,3690000
North Macedonia,1994,1981703
Malta,1994,374797
Montenegro,1994,611389
Netherlands,1994,15382838
Norway,1994,4336613
Poland,1994,38542652
Portugal,1994,9991525
Romania,1994,22730211
Serbia,1994,7734639
Slovak Republic,1994,5346331
Slovenia,1994,1989443
Sweden,1994,8780745
Ukraine,1994,51921041
Uruguay,1994,3201151
Kosovo,1994,1997000
Albania,1995,3187784
Andorra,1995,63850
Austria,1995,7948278
Belgium,1995,10136811
Bulgaria,1995,8406067
Bosnia and Herzegovina,1995,3829050
Switzerland,1995,7040687
Cyprus,1995,855383
Czech Republic,1995,10327253
Germany,1995,81678051
Denmark,1995,5233373
Spain,1995,39724050
Estonia,1995,1436634
Finland,1995,5107790
France,1995,59541899
United Kingdom,1995,58019030
Gibraltar,1995,28692
Greece,1995,10562153
Croatia,1995,4620030
Hungary,1995,10328965
Ireland,1995,3608841
Iceland,1995,267468
Italy,1995,56844303
Liechtenstein,1995,30880
Lithuania,1995,3629102
Luxembourg,1995,408625
Latvia,1995,2485056
Monaco,1995,30716
Moldova,1995,3675099
North Macedonia,1995,1983252
Malta,1995,377419
Montenegro,1995,611712
Netherlands,1995,15459006
Norway,1995,4359184
Poland,1995,38594998
Portugal,1995,10026176
Romania,1995,22684270
Serbia,1995,7625357
Slovak Republic,1995,5361999
Slovenia,1995,1989872
Sweden,1995,8826939
Ukraine,1995,51512299
Uruguay,1995,3224281
Kosovo,1995,2029000
Albania,1996,3168033
Andorra,1996,64360
Austria,1996,7959017
Belgium,1996,10156637
Bulgaria,1996,8362826
Bosnia and Herzegovina,1996,3764425
Switzerland,1996,7071850
Cyprus,1996,873423
Czech Republic,1996,10315241
Germany,1996,81914831
Denmark,1996,5263074
Spain,1996,39889852
Estonia,1996,1415594
Finland,1996,5124573
France,1996,59753100
United Kingdom,1996,58166950
Gibraltar,1996,28971
Greece,1996,10608800
Croatia,1996,4557097
Hungary,1996,10311238
Ireland,1996,3637510
Iceland,1996,268916
Italy,1996,56860281
Liechtenstein,1996,31348
Lithuania,1996,3601613
Luxembourg,1996,414225
Latvia,1996,2457222
Monaco,1996,30995
Moldova,1996,3667748
North Macedonia,1996,1989443
Malta,1996,379905
Montenegro,1996,611003
Netherlands,1996,15530498
Norway,1996,4381336
Poland,1996,38624370
Portugal,1996,10063945
Romania,1996,22619004
Serbia,1996,7617794
Slovak Republic,1996,5373361
Slovenia,1996,1988628
Sweden,1996,8840998
Ukraine,1996,51057189
Uruguay,1996,3247381
Kosovo,1996,2059000
Albania,1997,3148281
Andorra,1997,64327
Austria,1997,7968041
Belgium,1997,10181245
Bulgaria,1997,8312068
Bosnia and Herzegovina,1997,3736070
Switzerland,1997,7088906
Cyprus,1997,891190
Czech Republic,1997,10304131
Germany,1997,82034771
Denmark,1997,5284991
Spain,1997,40057389
Estonia,1997,1399535
Finland,1997,5139835
France,1997,59964851
United Kingdom,1997,58316954
Gibraltar,1997,29408
Greece,1997,10661259
Croatia,1997,4534920
Hungary,1997,10290486
Ireland,1997,3674171
Iceland,1997,271128
Italy,1997,56890372
Liechtenstein,1997,31830
Lithuania,1997,3575137
Luxembourg,1997,419450
Latvia,1997,2432851
Monaco,1997,31280
Moldova,1997,3654208
North Macedonia,1997,1999598
Malta,1997,382791
Montenegro,1997,609520
Netherlands,1997,15610650
Norway,1997,4405157
Poland,1997,38649660
Portugal,1997,10108977
Romania,1997,22553978
Serbia,1997,7596501
Slovak Republic,1997,5383291
Slovenia,1997,1985956
Sweden,1997,8846062
Ukraine,1997,50594105
Uruguay,1997,3270164
Kosovo,1997,2086000
Albania,1998,3128530
Andorra,1998,64142
Austria,1998,7976789
Belgium,1998,10203008
Bulgaria,1998,8256786
Bosnia and Herzegovina,1998,3734337
Switzerland,1998,7110001
Cyprus,1998,908702
Czech Republic,1998,10294373
Germany,1998,82047195
Denmark,1998,5304219
Spain,1998,40223509
Estonia,1998,1386156
Finland,1998,5153498
France,1998,60186288
United Kingdom,1998,58487141
Gibraltar,1998,29947
Greece,1998,10720509
Croatia,1998,4532135
Hungary,1998,10266570
Ireland,1998,3712696
Iceland,1998,274047
Italy,1998,56906744
Liechtenstein,1998,32311
Lithuania,1998,3549331
Luxembourg,1998,424700
Latvia,1998,2410019
Monaco,1998,31556
Moldova,1998,3652732
North Macedonia,1998,2012057
Malta,1998,385287
Montenegro,1998,607662
Netherlands,1998,15707209
Norway,1998,4431464
Poland,1998,38663481
Portugal,1998,10160196
Romania,1998,22507344
Serbia,1998,7567745
Slovak Republic,1998,5390516
Slovenia,1998,1981629
Sweden,1998,8850974
Sint Maarten (Dutch part),1998,31240
Ukraine,1998,50143939
Uruguay,1998,3291053
Kosovo,1998,1966000
Albania,1999,3108778
Andorra,1999,64370
Austria,1999,7992324
Belgium,1999,10226419
Bulgaria,1999,8210624
Bosnia and Herzegovina,1999,3743354
Switzerland,1999,7143991
Cyprus,1999,926046
Czech Republic,1999,10283860
Germany,1999,82100243
Denmark,1999,5321799
Spain,1999,40386875
Estonia,1999,1390244
Finland,1999,5165474
France,1999,60496718
United Kingdom,1999,58682466
Gibraltar,1999,30529
Greece,1999,10761698
Croatia,1999,4512597
Hungary,1999,10237530
Ireland,1999,3754786
Iceland,1999,277381
Italy,1999,56916317
Liechtenstein,1999,32769
Lithuania,1999,3524238
Luxembourg,1999,430475
Latvia,1999,2390482
Monaco,1999,31844
Moldova,1999,3647001
North Macedonia,1999,2024394
Malta,1999,387578
Montenegro,1999,606001
Netherlands,1999,15812088
Norway,1999,4461913
Poland,1999,38660271
Portugal,1999,10217828
Romania,1999,22472040
Serbia,1999,7540401
Slovak Republic,1999,5396020
Slovenia,1999,1983045
Sweden,1999,8857874
Sint Maarten (Dutch part),1999,31084
Ukraine,1999,49673350
Uruguay,1999,3308012
Kosovo,1999,1762000
Albania,2000,3089027
Andorra,2000,65390
Austria,2000,8011566
Belgium,2000,10251250
Bulgaria,2000,8170172
Bosnia and Herzegovina,2000,3751176
Switzerland,2000,7184250
Cyprus,2000,943290
Czech Republic,2000,10255063
Germany,2000,82211508
Denmark,2000,5339616
Spain,2000,40567864
Estonia,2000,1396985
Finland,2000,5176209
France,2000,60912500
United Kingdom,2000,58892514
Gibraltar,2000,31077
Greece,2000,10805808
Croatia,2000,4468302
Hungary,2000,10210971
Ireland,2000,3805174
Iceland,2000,281205
Italy,2000,56942108
Liechtenstein,2000,33184
Lithuania,2000,3499536
Luxembourg,2000,436300
Latvia,2000,2367550
Monaco,2000,32147
Moldova,2000,3639592
North Macedonia,2000,2034819
Malta,2000,390087
Montenegro,2000,604950
Netherlands,2000,15925513
Norway,2000,4490967
Poland,2000,38258629
Portugal,2000,10289898
Romania,2000,22442971
Serbia,2000,7516346
Slovak Republic,2000,5388720
Slovenia,2000,1988925
Sweden,2000,8872109
Sint Maarten (Dutch part),2000,30519
Ukraine,2000,49175848
Uruguay,2000,3319736
Kosovo,2000,1700000
Albania,2001,3060173
Andorra,2001,67341
Austria,2001,8042293
Belgium,2001,10286570
Bulgaria,2001,8009142
Bosnia and Herzegovina,2001,3755512
Switzerland,2001,7229854
Cyprus,2001,960276
Czech Republic,2001,10216605
Germany,2001,82349925
Denmark,2001,5358783
Spain,2001,40850412
Estonia,2001,1388115
Finland,2001,5188008
France,2001,61357430
United Kingdom,2001,59119673
Gibraltar,2001,31602
Greece,2001,10862132
Croatia,2001,4299642
Hungary,2001,10187576
Ireland,2001,3866243
Iceland,2001,284968
Italy,2001,56974100
Liechtenstein,2001,33552
Lithuania,2001,3470818
Luxembourg,2001,441525
Latvia,2001,2337170
Monaco,2001,32470
Moldova,2001,3631462
North Macedonia,2001,2042842
Malta,2001,393028
Montenegro,2001,607389
Netherlands,2001,16046180
Norway,2001,4513751
Poland,2001,38248076
Portugal,2001,10362722
Romania,2001,22131970
Serbia,2001,7503433
Slovak Republic,2001,5378867
Slovenia,2001,1992060
Sweden,2001,8895960
Sint Maarten (Dutch part),2001,30600
Ukraine,2001,48683865
Uruguay,2001,3325473
Kosovo,2001,1701154
Albania,2002,3051010
Andorra,2002,70049
Austria,2002,8081957
Belgium,2002,10332785
Bulgaria,2002,7837161
Bosnia and Herzegovina,2002,3759387
Switzerland,2002,7284753
Cyprus,2002,976964
Czech Republic,2002,10196916
Germany,2002,82488495
Denmark,2002,5375931
Spain,2002,41431558
Estonia,2002,1379350
Finland,2002,5200598
France,2002,61805267
United Kingdom,2002,59370479
Gibraltar,2002,32102
Greece,2002,10902022
Croatia,2002,4302174
Hungary,2002,10158608
Ireland,2002,3931947
Iceland,2002,287523
Italy,2002,57059007
Liechtenstein,2002,33879
Lithuania,2002,3443067
Luxembourg,2002,446175
Latvia,2002,2310173
Monaco,2002,32806
Moldova,2002,3623062
North Macedonia,2002,2048928
Malta,2002,395969
Montenegro,2002,609828
Netherlands,2002,16148929
Norway,2002,4538159
Poland,2002,38230364
Portugal,2002,10419631
Romania,2002,21730496
Serbia,2002,7496522
Slovak Republic,2002,5376912
Slovenia,2002,1994530
Sweden,2002,8924958
Sint Maarten (Dutch part),2002,30777
Ukraine,2002,48202500
Uruguay,2002,3326040
Kosovo,2002,1702310
Albania,2003,3039616
Andorra,2003,73182
Austria,2003,8121423
Belgium,2003,10376133
Bulgaria,2003,7775327
Bosnia and Herzegovina,2003,3762173
Switzerland,2003,7339001
Cyprus,2003,993563
Czech Republic,2003,10193998
Germany,2003,82534176
Denmark,2003,5390574
Spain,2003,42187645
Estonia,2003,1370720
Finland,2003,5213014
France,2003,62244886
United Kingdom,2003,59647577
Gibraltar,2003,32555
Greece,2003,10928070
Croatia,2003,4303399
Hungary,2003,10129552
Ireland,2003,3996521
Iceland,2003,289521
Italy,2003,57313203
Liechtenstein,2003,34175
Lithuania,2003,3415213
Luxembourg,2003,451630
Latvia,2003,2287955
Monaco,2003,33153
Moldova,2003,3612874
North Macedonia,2003,2053426
Malta,2003,398582
Montenegro,2003,612267
Netherlands,2003,16225302
Norway,2003,4564855
Poland,2003,38204570
Portugal,2003,10458821
Romania,2003,21574326
Serbia,2003,7480591
Slovak Republic,2003,5373374
Slovenia,2003,1995733
Sweden,2003,8958229
Sint Maarten (Dutch part),2003,31472
Ukraine,2003,47812950
Uruguay,2003,3323668
Kosovo,2003,1703466
Albania,2004,3026939
Andorra,2004,76244
Austria,2004,8171966
Belgium,2004,10421137
Bulgaria,2004,7716860
Bosnia and Herzegovina,2004,3764194
Switzerland,2004,7389625
Cyprus,2004,1010408
Czech Republic,2004,10197101
Germany,2004,82516260
Denmark,2004,5404523
Spain,2004,42921895
Estonia,2004,1362550
Finland,2004,5228172
France,2004,62704895
United Kingdom,2004,59987905
Gibraltar,2004,32928
Greece,2004,10955141
Croatia,2004,4304600
Hungary,2004,10107146
Ireland,2004,4070262
Iceland,2004,292074
Italy,2004,57685327
Liechtenstein,2004,34452
Lithuania,2004,3377075
Luxembourg,2004,458095
Latvia,2004,2263122
Monaco,2004,33500
Moldova,2004,3603945
North Macedonia,2004,2057048
Malta,2004,401268
Montenegro,2004,613353
Netherlands,2004,16281779
Norway,2004,4591910
Poland,2004,38182222
Portugal,2004,10483861
Romania,2004,21451748
Serbia,2004,7463157
Slovak Republic,2004,5372280
Slovenia,2004,1997012
Sweden,2004,8993531
Sint Maarten (Dutch part),2004,32488
Ukraine,2004,47451600
Uruguay,2004,3321476
Kosovo,2004,1704622
Albania,2005,3011487
Andorra,2005,78867
Austria,2005,8227829
Belgium,2005,10478617
Bulgaria,2005,7658972
Bosnia and Herzegovina,2005,3765331
Switzerland,2005,7437115
Cyprus,2005,1027662
Czech Republic,2005,10211216
Germany,2005,82469422
Denmark,2005,5419432
Spain,2005,43653155
Estonia,2005,1354775
Finland,2005,5246096
France,2005,63179351
United Kingdom,2005,60401206
Gibraltar,2005,33219
Greece,2005,10987314
Croatia,2005,4310145
Hungary,2005,10087065
Ireland,2005,4159914
Iceland,2005,296734
Italy,2005,57969484
Liechtenstein,2005,34713
Lithuania,2005,3322528
Luxembourg,2005,465158
Latvia,2005,2238799
Monaco,2005,33843
Moldova,2005,3595187
North Macedonia,2005,2060273
Malta,2005,403834
Montenegro,2005,614261
Netherlands,2005,16319868
Norway,2005,4623291
Poland,2005,38165445
Portugal,2005,10503330
Romania,2005,21319685
Serbia,2005,7440769
Slovak Republic,2005,5372807
Slovenia,2005,2000474
Sweden,2005,9029572
Sint Maarten (Dutch part),2005,33011
Ukraine,2005,47105150
Uruguay,2005,3321803
Kosovo,2005,1705780
Albania,2006,2992547
Andorra,2006,80993
Austria,2006,8268641
Belgium,2006,10547958
Bulgaria,2006,7601022
Bosnia and Herzegovina,2006,3765424
Switzerland,2006,7483934
Cyprus,2006,1045507
Czech Republic,2006,10238905
Germany,2006,82376451
Denmark,2006,5437272
Spain,2006,44397319
Estonia,2006,1346810
Finland,2006,5266268
France,2006,63621381
United Kingdom,2006,60846820
Gibraltar,2006,33417
Greece,2006,11020362
Croatia,2006,4311159
Hungary,2006,10071370
Ireland,2006,4273591
Iceland,2006,303782
Italy,2006,58143979
Liechtenstein,2006,34970
Lithuania,2006,3269909
Luxembourg,2006,472637
Latvia,2006,2218357
Monaco,2006,34190
Moldova,2006,3585209
North Macedonia,2006,2063131
Malta,2006,405308
Montenegro,2006,615025
Netherlands,2006,16346101
Norway,2006,4660677
Poland,2006,38141267
Portugal,2006,10522288
Romania,2006,21193760
Serbia,2006,7411569
Slovak Republic,2006,5373054
Slovenia,2006,2006868
Sweden,2006,9080505
Sint Maarten (Dutch part),2006,33441
Ukraine,2006,46787750
Uruguay,2006,3325401
Kosovo,2006,1719536
Albania,2007,2970017
Andorra,2007,82684
Austria,2007,8295487
Belgium,2007,10625700
Bulgaria,2007,7545338
Bosnia and Herzegovina,2007,3762786
Switzerland,2007,7551117
Cyprus,2007,1063713
Czech Republic,2007,10298828
Germany,2007,82266372
Denmark,2007,5461438
Spain,2007,45226803
Estonia,2007,1340680
Finland,2007,5288720
France,2007,64016225
United Kingdom,2007,61322463
Gibraltar,2007,33517
Greece,2007,11048473
Croatia,2007,4310217
Hungary,2007,10055780
Ireland,2007,4398942
Iceland,2007,311566
Italy,2007,58438310
Liechtenstein,2007,35217
Lithuania,2007,3231294
Luxembourg,2007,479993
Latvia,2007,2200325
Monaco,2007,34525
Moldova,2007,3576910
North Macedonia,2007,2065426
Malta,2007,406724
Montenegro,2007,615875
Netherlands,2007,16381696
Norway,2007,4709153
Poland,2007,38120560
Portugal,2007,10542964
Romania,2007,20882982
Serbia,2007,7381579
Slovak Republic,2007,5374622
Slovenia,2007,2018122
Sweden,2007,9148092
Sint Maarten (Dutch part),2007,33811
Ukraine,2007,46509350
Uruguay,2007,3331749
Kosovo,2007,1733404
Albania,2008,2947314
Andorra,2008,83862
Austria,2008,8321496
Belgium,2008,10709973
Bulgaria,2008,7492561
Bosnia and Herzegovina,2008,3754271
Switzerland,2008,7647675
Cyprus,2008,1081563
Czech Republic,2008,10384603
Germany,2008,82110097
Denmark,2008,5493621
Spain,2008,45954106
Estonia,2008,1337090
Finland,2008,5313399
France,2008,64374984
United Kingdom,2008,61806995
Gibraltar,2008,33559
Greece,2008,11077841
Croatia,2008,4309705
Hungary,2008,10038188
Ireland,2008,4489544
Iceland,2008,317414
Italy,2008,58826731
Liechtenstein,2008,35471
Lithuania,2008,3198231
Luxembourg,2008,488650
Latvia,2008,2177322
Monaco,2008,34872
Moldova,2008,3570108
North Macedonia,2008,2067313
Malta,2008,409379
Montenegro,2008,616969
Netherlands,2008,16445593
Norway,2008,4768212
Poland,2008,38125759
Portugal,2008,10558177
Romania,2008,20537875
Serbia,2008,7350222
Slovak Republic,2008,5379233
Slovenia,2008,2021316
Sweden,2008,9219637
Sint Maarten (Dutch part),2008,33964
Ukraine,2008,46258200
Uruguay,2008,3340221
Kosovo,2008,1747383
Albania,2009,2927519
Andorra,2009,84463
Austria,2009,8343323
Belgium,2009,10796493
Bulgaria,2009,7444443
Bosnia and Herzegovina,2009,3735938
Switzerland,2009,7743831
Cyprus,2009,1098083
Czech Republic,2009,10443936
Germany,2009,81902307
Denmark,2009,5523095
Spain,2009,46362946
Estonia,2009,1334515
Finland,2009,5338871
France,2009,64707040
United Kingdom,2009,62276270
Gibraltar,2009,33565
Greece,2009,11107017
Croatia,2009,4305181
Hungary,2009,10022650
Ireland,2009,4535375
Iceland,2009,318499
Italy,2009,59095365
Liechtenstein,2009,35727
Lithuania,2009,3162916
Luxembourg,2009,497783
Latvia,2009,2141669
Monaco,2009,35226
Moldova,2009,3565604
North Macedonia,2009,2069039
Malta,2009,412477
Montenegro,2009,618294
Netherlands,2009,16530388
Norway,2009,4828726
Poland,2009,38151603
Portugal,2009,10568247
Romania,2009,20367487
Serbia,2009,7320807
Slovak Republic,2009,5386406
Slovenia,2009,2039669
Sweden,2009,9298515
Sint Maarten (Dutch part),2009,34238
Ukraine,2009,46053300
Uruguay,2009,3349676
Kosovo,2009,1761474
Albania,2010,2913021
Andorra,2010,84449
Austria,2010,8363404
Belgium,2010,10895586
Bulgaria,2010,7395599
Bosnia and Herzegovina,2010,3705472
Switzerland,2010,7824909
Cyprus,2010,1112612
Czech Republic,2010,10474410
Germany,2010,81776930
Denmark,2010,5547683
Spain,2010,46576897
Estonia,2010,1331475
Finland,2010,5363352
France,2010,65027507
United Kingdom,2010,62766365
Gibraltar,2010,33585
Greece,2010,11121341
Croatia,2010,4295427
Hungary,2010,10000023
Ireland,2010,4560155
Iceland,2010,318041
Italy,2010,59277417
Liechtenstein,2010,35994
Lithuania,2010,3097282
Luxembourg,2010,506953
Latvia,2010,2097555
Monaco,2010,35612
Moldova,2010,3562045
North Macedonia,2010,2070741
Malta,2010,414508
Montenegro,2010,619428
Netherlands,2010,16615394
Norway,2010,4889252
Poland,2010,38042794
Portugal,2010,10573100
Romania,2010,20246871
Serbia,2010,7291436
Slovak Republic,2010,5391428
Slovenia,2010,2048583
Sweden,2010,9378126
Sint Maarten (Dutch part),2010,34056
Ukraine,2010,45870700
Uruguay,2010,3359275
Kosovo,2010,1775680
Albania,2011,2905195
Andorra,2011,83747
Austria,2011,8391643
Belgium,2011,11038264
Bulgaria,2011,7348328
Bosnia and Herzegovina,2011,3661175
Switzerland,2011,7912398
Cyprus,2011,1124833
Czech Republic,2011,10496088
Germany,2011,80274983
Denmark,2011,5570572
Spain,2011,46742697
Estonia,2011,1327439
Finland,2011,5388272
France,2011,65342780
United Kingdom,2011,63258918
Gibraltar,2011,33612
Greece,2011,11104899
Croatia,2011,4280622
Hungary,2011,9971727
Ireland,2011,4580084
Iceland,2011,319014
Italy,2011,59379449
Liechtenstein,2011,36293
Lithuania,2011,3028115
Luxembourg,2011,518347
Latvia,2011,2059709
Monaco,2011,36024
Moldova,2011,3559986
North Macedonia,2011,2072487
Malta,2011,416268
Montenegro,2011,620079
Netherlands,2011,16693074
Norway,2011,4953088
Poland,2011,38063255
Portugal,2011,10557560
Romania,2011,20147528
Serbia,2011,7234099
Slovak Republic,2011,5398384
Slovenia,2011,2052843
Sweden,2011,9449213
Sint Maarten (Dutch part),2011,33435
